Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
48,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,7.0,8.0,10.0,8.0,10.0,8.675,1.473
49,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,7.0,8.0,10.0,8.0,10.0,8.675,1.473
50,10.0,8.0,9.0,8.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,7.0,8.0,10.0,8.0,10.0,8.625,1.461
51,10.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,7.0,8.0,10.0,8.0,10.0,8.55,1.532
52,10.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,7.0,8.0,10.0,8.0,10.0,8.55,1.532
53,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,7.0,8.0,10.0,8.0,10.0,8.5,1.517
54,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,9.0,11.0,7.0,8.0,10.0,8.0,10.0,8.45,1.465
55,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,9.0,11.0,7.0,8.0,10.0,8.0,10.0,8.425,1.447
56,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,7.0,9.0,11.0,7.0,8.0,10.0,8.0,10.0,8.425,1.447
57,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,11.0,7.0,8.0,10.0,8.0,10.0,8.4,1.428
58,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,11.0,7.0,8.0,10.0,8.0,10.0,8.4,1.428
